,pId,category
1117,2678,55S
1118,2680,2G
1119,2681,12G
1120,2682,52G
1121,2684,51B
1122,2685,55S
1123,2686,2G
1124,2688,19G
1125,2689,51G
1126,2690,3G
1127,2692,12P
1128,2693,15S
1129,2695,19G
1130,2696,5G
1131,2697,51S
1132,2698,19G
1133,2699,12P
1134,2700,20G
1135,2702,31B
1136,2703,51B
1137,2704,2B
1138,2705,19S
1139,2708,51G
1140,2711,51B
1141,2712,32B
1142,2713,51S
1143,2714,51S
1144,2715,56G
1145,2716,13S
1146,2718,43G
1147,2720,30B
1148,2721,55B
1149,2723,48S
1150,2725,65S
1151,2727,56P
1152,2728,19P
1153,2729,41S
1154,2730,51S
1155,2731,39P
1156,2733,18G
1157,2737,39G
1158,2738,41B
1159,2739,41B
1160,2740,55B
1161,2741,2B
1162,2742,2B
1163,2743,51B
1164,2744,51B
1165,2745,32B
1166,2747,55B
1167,2748,48B
1168,2749,23G
1169,2750,54B
1170,2751,15S
1171,2752,15B
1172,2753,55B
1173,2754,32B
1174,2755,41B
1175,2756,55B
1176,2757,32S
1177,2758,19G
1178,2759,33G
1179,2760,3S
1180,2761,4S
1181,2764,19P
1182,2765,4B
1183,2766,2S
1184,2773,12G
1185,2774,2B
1186,2775,55B
1187,2776,40S
1188,2777,30S
1189,2779,19G
1190,2780,19S
1191,2783,41B
1192,2784,11S
1193,2785,15S
1194,2786,15G
1195,2789,51B
1196,2790,6S
1197,2792,20S
1198,2793,39P
1199,2796,12P
1200,2797,33P
1201,2798,11B
1202,2799,2S
1203,2800,18G
1204,2804,51B
1205,2805,20S
1206,2806,19G
1207,2810,51B
1208,2811,2S
1209,2812,13G
1210,2813,33P
1211,2816,56B
1212,2817,54S
1213,2818,41S
1214,2819,20G
1215,2822,15S
1216,2823,14S
1217,2824,50G
1218,2825,4G
1219,2828,33S
1220,2829,11G
1221,2830,4G
1222,2831,15G
1223,2839,48B
1224,2840,2S
1225,2841,13S
1226,2842,24P
1227,2846,2B
1228,2847,33S
1229,2848,14P
1230,2851,16B
1231,2852,51S
1232,2853,30S
1233,2854,19G
1234,2857,51B
1235,2858,31B
1236,2859,31S
1237,2860,39G
1238,2863,41B
1239,2864,30B
1240,2865,15S
1241,2866,61G
1242,2867,13P
1243,2869,4B
1244,2870,3S
1245,2871,33G
1246,2872,33S
1247,2875,55B
1248,2876,19S
1249,2877,55S
1250,2878,20G
1251,2879,33G
1252,2881,20G
1253,2884,4B
1254,2885,39S
1255,2886,54G
1256,2887,14G
1257,2890,51B
1258,2891,33S
1259,2892,6G
1260,2896,4B
1261,2897,11B
1262,2900,39G
1263,2902,51B
1264,2903,4B
1265,2904,22G
1266,2908,55B
1267,2909,55B
1268,2910,40S
1269,2911,15P
1270,2915,3S
1271,2916,39G
1272,2917,1G
1273,2920,2B
1274,2921,4B
1275,2922,47G
1276,2923,33P
1277,2924,4P
1278,2929,51B
1279,2930,33B
1280,2931,2G
1281,2933,36G
1282,2934,21P
1283,2935,7B
1284,2936,55B
1285,2937,11G
1286,2938,39S
1287,2941,51S
1288,2942,65S
1289,2943,55S
1290,2947,2S
1291,2948,55B
1292,2949,2S
1293,2953,41B
1294,2954,51B
1295,2955,2G
1296,2957,26P
1297,2959,4B
1298,2960,22S
1299,2961,11S
1300,2962,20P
1301,2963,4G
1302,2965,4B
1303,2966,2B
1304,2967,11P
1305,2968,4P
1306,2975,41B
1307,2976,19G
1308,2977,20G
1309,2978,48P
1310,2979,2B
1311,2980,41S
1312,2981,65G
1313,2982,58G
1314,2983,40P
1315,2985,41B
1316,2986,39S
1317,2987,55G
1318,2991,4B
1319,2992,47S
1320,2993,54S
1321,2994,19P
1322,2995,21P
1323,2997,41B
